Data;Sklep;Kategoria;Produkt;Ilość; Cena za szt ;Ilość ml|g | cm;Ilość w opakowaniu; Zwrot ; Dostawa ;Link; Komentarz 
23.04.2022;Fryzjer;Fryzjer; ;1;45,00 zł;;;;;;   
26.04.2022;Galeria Orkana - Rossmann;Higiena;Szampon Nivea Men - Active Clean 500ml;2;8,34 zł;500;;;;; Przypadkiem kupiłem droższe o 4zł /szt | w Rossmannie w Kauflandzie były po 8.49 (Rabat zniwelował straty) 
26.04.2022;Galeria Orkana - Rossmann;Higiena;Szampon Nivea Men - Silver Protection 500ml;3;8,49 zł;500;;;;; Przypadkiem kupiłem droższe o 4zł /szt | w Rossmannie w Kauflandzie były po 8.49 (Rabat zniwelował straty) 
26.04.2022;Kaufland;Higiena;Garnier - Czysta skóra Oczyszczający żel 200ml;1;10,99 zł;200;;;;;   
26.04.2022;Kaufland;Higiena;Gąbka do ciała;1;2,99 zł;;;;;;   
26.04.2022;Kaufland;Higiena;Nivea Men - Skin protection żel do golenia;1;13,49 zł;200;;;;;   
26.04.2022;Maxi Zoo;Pies;Podajnik na worki dla psa;1;10,39 zł;;;;;;   
26.04.2022;Maxi Zoo;Pies;Reklamówka;1;0,30 zł;;;;;;   
26.04.2022;Maxi Zoo;Pies;Worki dla psa - Fit+Fun 1x20;1;3,19 zł;;20;;;;   
26.04.2022;Maxi Zoo;Pies;Worki dla psa - Fit+Fun 4x20;1;7,19 zł;;80;;;;   
